dataset,split_index,split_seed,view,best_c,val_accuracy,test_accuracy,test_error,low_core_test_accuracy,low_core_test_error,mid_core_test_accuracy,mid_core_test_error,high_core_test_accuracy,high_core_test_error
CiteSeer,4,2030,prop_residual_concat,10.0,0.6756756756756757,0.7222848553175498,0.2777151446824502,0.7142857313156128,0.2857142984867096,0.745743453502655,0.2542565166950226,0.7070707082748413,0.2929292917251587
PubMed,0,2026,raw,1.0,0.8473630831643002,0.8432764851328219,0.15672351486717806,0.8423069715499878,0.1576930433511734,0.8373459577560425,0.16265402734279633,0.8501610159873962,0.14983898401260376
PubMed,0,2026,prop1,3.0,0.8453346855983773,0.8487288404235085,0.1512711595764915,0.8482468128204346,0.15175320208072662,0.8430331945419312,0.15696682035923004,0.8548967838287354,0.14510324597358704
PubMed,0,2026,prop2,3.0,0.8473630831643002,0.8556393837570532,0.14436061624294683,0.8518873453140259,0.14811266958713531,0.8504265546798706,0.1495734602212906,0.864557683467865,0.135442316532135
PubMed,0,2026,residual,1.0,0.5273833671399595,0.5092880238382045,0.4907119761617955,0.5619850754737854,0.438014954328537,0.4951658844947815,0.5048341155052185,0.4713013768196106,0.5286986231803894
PubMed,0,2026,prop_residual_concat,1.0,0.8569979716024341,0.8617891333291067,0.13821086667089333,0.8685572147369385,0.13144280016422272,0.8517535328865051,0.14824645221233368,0.8651259541511536,0.13487403094768524
PubMed,1,2027,raw,1.0,0.8529411764705882,0.8466366575794079,0.15336334242059213,0.8491321802139282,0.15086781978607178,0.8394687175750732,0.16053131222724915,0.8513308167457581,0.14866919815540314
PubMed,1,2027,prop1,3.0,0.8514198782961461,0.8481582451023901,0.15184175489760987,0.8456990122795105,0.1543009728193283,0.8478178381919861,0.15218216180801392,0.8509505987167358,0.14904943108558655
PubMed,1,2027,prop2,3.0,0.8504056795131846,0.8564001775185444,0.14359982248145564,0.8561891913414001,0.14381079375743866,0.8535104393959045,0.14648956060409546,0.8595057129859924,0.14049430191516876
PubMed,1,2027,residual,1.0,0.5060851926977687,0.4964813288531034,0.5035186711468966,0.542628288269043,0.4573717415332794,0.47988614439964294,0.5201138257980347,0.467110276222229,0.532889723777771
PubMed,1,2027,prop_residual_concat,3.0,0.8600405679513184,0.8622963291701008,0.1377036708298992,0.869731068611145,0.13026893138885498,0.8595825433731079,0.1404174566268921,0.8576045632362366,0.14239543676376343
PubMed,2,2028,raw,1.0,0.8377281947261663,0.8416280986495911,0.1583719013504089,0.8418318033218384,0.15816816687583923,0.8281013369560242,0.17189863324165344,0.8549546003341675,0.14504538476467133
PubMed,2,2028,prop1,1.0,0.8488843813387424,0.8492994357446269,0.15070056425537315,0.8481816649436951,0.15181834995746613,0.8402042388916016,0.15979576110839844,0.8594931960105896,0.1405068039894104
PubMed,2,2028,prop2,1.0,0.8539553752535497,0.8528498066315856,0.1471501933684144,0.8474119901657104,0.15258802473545074,0.8479576110839844,0.15204235911369324,0.8630862236022949,0.13691376149654388
PubMed,2,2028,residual,1.0,0.5035496957403651,0.5081468331959678,0.49185316680403224,0.5541658401489258,0.44583413004875183,0.490355521440506,0.5096444487571716,0.48071104288101196,0.519288957118988
PubMed,2,2028,prop_residual_concat,3.0,0.8615618661257607,0.8589361567235149,0.14106384327648513,0.8628054857254028,0.13719452917575836,0.8513615727424622,0.14863842725753784,0.8627080321311951,0.13729198276996613
PubMed,3,2029,raw,1.0,0.847870182555781,0.8418816965700882,0.15811830342991184,0.8397716283798218,0.16022835671901703,0.8374215364456177,0.16257843375205994,0.8484503030776978,0.15154972672462463
PubMed,3,2029,prop1,1.0,0.8610547667342799,0.8549419894756863,0.14505801052431366,0.8502378463745117,0.1497621387243271,0.8488305807113647,0.15116941928863525,0.8657539486885071,0.13424605131149292
PubMed,3,2029,prop2,3.0,0.8569979716024341,0.8569707728396627,0.14302922716033728,0.8502378463745117,0.1497621387243271,0.8558661341667175,0.14413386583328247,0.8648031949996948,0.13519680500030518
PubMed,3,2029,residual,1.0,0.5152129817444219,0.5149939770493882,0.4850060229506118,0.5651760101318359,0.43482398986816406,0.5050389766693115,0.4949610233306885,0.47480508685112,0.5251948833465576
PubMed,3,2029,prop_residual_concat,3.0,0.8676470588235294,0.8614721359284854,0.13852786407151463,0.8669838309288025,0.1330161690711975,0.8541547656059265,0.1458452194929123,0.8632819652557373,0.1367180049419403
PubMed,4,2030,raw,1.0,0.8549695740365112,0.8479680466620174,0.15203195333798258,0.8516682386398315,0.14833174645900726,0.8388878107070923,0.16111217439174652,0.8533257246017456,0.146674245595932
PubMed,4,2030,prop1,3.0,0.8438133874239351,0.850060229506118,0.14993977049388196,0.8505243062973022,0.14947569370269775,0.8409826755523682,0.15901732444763184,0.8586317896842957,0.14136819541454315
PubMed,4,2030,prop2,3.0,0.8498985801217038,0.8532936029924555,0.1467063970075445,0.851858913898468,0.14814108610153198,0.8447914719581604,0.1552085280418396,0.8631798624992371,0.13682016730308533
PubMed,4,2030,residual,1.0,0.5258620689655172,0.5054206555506244,0.49457934444937557,0.5591992139816284,0.4408007562160492,0.4947628974914551,0.5052371025085449,0.46257343888282776,0.5374265909194946
PubMed,4,2030,prop_residual_concat,3.0,0.8656186612576064,0.8617257338489824,0.13827426615101757,0.8692087531089783,0.13079123198986053,0.8510760068893433,0.14892400801181793,0.8648853302001953,0.1351146548986435
