dataset,split_index,bucket,num_nodes,num_test,core_score_mean,degree_mean,depth_agreement_mean,neighbor_consistency_mean,residual_norm_mean,topk_positive_label_agreement,edge_label_agreement,raw_test_error,prop2_test_error,concat_test_error,prop2_minus_raw_error,concat_minus_raw_error
CiteSeer,3,low_core,1109,885,0.16656646132469177,2.3724076747894287,0.7743257880210876,0.6310688257217407,4.142627716064453,0.6434851288795471,0.6279542446136475,0.35593220591545105,0.28926554322242737,0.28587570786476135,-0.06666667014360428,-0.0700564980506897
CiteSeer,3,mid_core,1109,899,0.5,2.984670877456665,0.8088001012802124,0.790669858455658,4.133650302886963,0.6688458323478699,0.7069106698036194,0.3214682936668396,0.2803114652633667,0.2803114652633667,-0.041156839579343796,-0.041156839579343796
CiteSeer,3,high_core,1109,877,0.8334335684776306,2.852118968963623,0.8719651699066162,0.9145558476448059,3.5518033504486084,0.6468665599822998,0.7838826179504395,0.34891676902770996,0.2782212197780609,0.298745721578598,-0.07069555670022964,-0.05017103627324104
CiteSeer,4,low_core,1109,889,0.16656646132469177,2.3724076747894287,0.7743257880210876,0.6310688257217407,4.142627716064453,0.6434851288795471,0.6279542446136475,0.35545557737350464,0.2744656801223755,0.2857142984867096,-0.08098987489938736,-0.06974127888679504
CiteSeer,4,mid_core,1109,881,0.5,2.984670877456665,0.8088001012802124,0.790669858455658,4.133650302886963,0.6688458323478699,0.7069106698036194,0.32236096262931824,0.2338251918554306,0.2542565166950226,-0.08853575587272644,-0.06810442358255386
CiteSeer,4,high_core,1109,891,0.8334335684776306,2.852118968963623,0.8719651699066162,0.9145558476448059,3.5518033504486084,0.6468665599822998,0.7838826179504395,0.331088662147522,0.25589224696159363,0.2929292917251587,-0.07519640773534775,-0.03815937042236328
PubMed,0,low_core,6573,5219,0.1666666716337204,3.960292100906372,0.7660787105560303,0.6264982223510742,0.3036162257194519,0.7829757928848267,0.7725187540054321,0.1576930433511734,0.14811266958713531,0.13144280016422272,-0.009580379351973534,-0.026250239461660385
PubMed,0,mid_core,6571,5275,0.5000000596046448,4.432506561279297,0.8248146772384644,0.7022855281829834,0.27063700556755066,0.7902716398239136,0.789824366569519,0.16265402734279633,0.1495734602212906,0.14824645221233368,-0.013080568984150887,-0.014407582581043243
PubMed,0,high_core,6573,5279,0.8333333134651184,5.095238208770752,0.8753646016120911,0.7766481637954712,0.23273664712905884,0.8077932596206665,0.8148930668830872,0.14983898401260376,0.135442316532135,0.13487403094768524,-0.0143966656178236,-0.014964955858886242
PubMed,1,low_core,6573,5243,0.1666666716337204,3.960292100906372,0.7660787105560303,0.6264982223510742,0.3036162257194519,0.7829757928848267,0.7725187540054321,0.15086781978607178,0.14381079375743866,0.13026893138885498,-0.007057028356939554,-0.020598893985152245
PubMed,1,mid_core,6571,5270,0.5000000596046448,4.432506561279297,0.8248146772384644,0.7022855281829834,0.27063700556755066,0.7902716398239136,0.789824366569519,0.16053131222724915,0.14648956060409546,0.1404174566268921,-0.014041746035218239,-0.020113851875066757
PubMed,1,high_core,6573,5260,0.8333333134651184,5.095238208770752,0.8753646016120911,0.7766481637954712,0.23273664712905884,0.8077932596206665,0.8148930668830872,0.14866919815540314,0.14049430191516876,0.14239543676376343,-0.008174904622137547,-0.006273764185607433
PubMed,2,low_core,6573,5197,0.1666666716337204,3.960292100906372,0.7660787105560303,0.6264982223510742,0.3036162257194519,0.7829757928848267,0.7725187540054321,0.15816816687583923,0.15258802473545074,0.13719452917575836,-0.005580142606049776,-0.02097363956272602
PubMed,2,mid_core,6571,5288,0.5000000596046448,4.432506561279297,0.8248146772384644,0.7022855281829834,0.27063700556755066,0.7902716398239136,0.789824366569519,0.17189863324165344,0.15204235911369324,0.14863842725753784,-0.019856277853250504,-0.02326021157205105
PubMed,2,high_core,6573,5288,0.8333333134651184,5.095238208770752,0.8753646016120911,0.7766481637954712,0.23273664712905884,0.8077932596206665,0.8148930668830872,0.14504538476467133,0.13691376149654388,0.13729198276996613,-0.008131618611514568,-0.007753403857350349
PubMed,3,low_core,6573,5255,0.1666666716337204,3.960292100906372,0.7660787105560303,0.6264982223510742,0.3036162257194519,0.7829757928848267,0.7725187540054321,0.16022835671901703,0.1497621387243271,0.1330161690711975,-0.010466222651302814,-0.027212178334593773
PubMed,3,mid_core,6571,5259,0.5000000596046448,4.432506561279297,0.8248146772384644,0.7022855281829834,0.27063700556755066,0.7902716398239136,0.789824366569519,0.16257843375205994,0.14413386583328247,0.1458452194929123,-0.018444571644067764,-0.016733219847083092
PubMed,3,high_core,6573,5259,0.8333333134651184,5.095238208770752,0.8753646016120911,0.7766481637954712,0.23273664712905884,0.8077932596206665,0.8148930668830872,0.15154972672462463,0.13519680500030518,0.1367180049419403,-0.01635291799902916,-0.014831717126071453
PubMed,4,low_core,6573,5245,0.1666666716337204,3.960292100906372,0.7660787105560303,0.6264982223510742,0.3036162257194519,0.7829757928848267,0.7725187540054321,0.14833174645900726,0.14814108610153198,0.13079123198986053,-0.0001906577672343701,-0.01754051446914673
PubMed,4,mid_core,6571,5251,0.5000000596046448,4.432506561279297,0.8248146772384644,0.7022855281829834,0.27063700556755066,0.7902716398239136,0.789824366569519,0.16111217439174652,0.1552085280418396,0.14892400801181793,-0.0059036375023424625,-0.012188154272735119
PubMed,4,high_core,6573,5277,0.8333333134651184,5.095238208770752,0.8753646016120911,0.7766481637954712,0.23273664712905884,0.8077932596206665,0.8148930668830872,0.146674245595932,0.13682016730308533,0.1351146548986435,-0.009854083880782127,-0.01155959814786911
