dataset,split_index,model_seed,num_nodes,num_edges,num_features,feature_density,feature_nnz_mean,feature_nnz_std,avg_degree,hpfs_accuracy,raw_preserved_hpfs_accuracy,grace_light_accuracy,raw_branch_gain,best_fixed_method,best_fixed_accuracy,gate_target_raw_preserve,edge_feature_cos_mean,edge_feature_cos_std,random_feature_cos_mean,edge_feature_cos_lift,raw_hpfs_pair_sim_corr,raw_hpfs_pair_sim_abs_gap,raw_propagation_cos_mean,raw_propagation_cos_std
Cora,0,0,2708,10556,1433,0.012682692147791386,18.174299240112305,5.756947040557861,3.8980798721313477,0.7971349353049908,0.7920517560073937,0.7957486136783734,-0.005083179297597051,hpfs_gcl,0.7971349353049908,0,0.1676545888185501,0.12685544788837433,0.0564383864402771,0.11121620237827301,0.2664617896080017,0.26453226804733276,0.7680206298828125,0.08396995812654495
Cora,1,0,2708,10556,1433,0.012682692147791386,18.174299240112305,5.756947040557861,3.8980798721313477,0.8022181146025879,0.7795748613678374,0.8036044362292052,-0.02264325323475047,hpfs_gcl,0.8022181146025879,0,0.1676545888185501,0.12685544788837433,0.0564383864402771,0.11121620237827301,0.26579970121383667,0.2637787163257599,0.7680206298828125,0.08396995812654495
Cora,2,0,2708,10556,1433,0.012682692147791386,18.174299240112305,5.756947040557861,3.8980798721313477,0.8073012939001848,0.7846580406654344,0.8012939001848429,-0.02264325323475036,hpfs_gcl,0.8073012939001848,0,0.1676545888185501,0.12685544788837433,0.0564383864402771,0.11121620237827301,0.27251023054122925,0.2637612521648407,0.7680206298828125,0.08396995812654495
Cora,3,0,2708,10556,1433,0.012682692147791386,18.174299240112305,5.756947040557861,3.8980798721313477,0.7989833641404805,0.7754158964879853,0.7828096118299446,-0.02356746765249529,hpfs_gcl,0.7989833641404805,0,0.1676545888185501,0.12685544788837433,0.0564383864402771,0.11121620237827301,0.253399521112442,0.2645837366580963,0.7680206298828125,0.08396995812654495
Cora,4,0,2708,10556,1433,0.012682692147791386,18.174299240112305,5.756947040557861,3.8980798721313477,0.7703327171903882,0.7777264325323475,0.7754158964879853,0.007393715341959317,rpgcl_hpfs,0.7777264325323475,1,0.1676545888185501,0.12685544788837433,0.0564383864402771,0.11121620237827301,0.26935502886772156,0.26406413316726685,0.7680206298828125,0.08396995812654495
Cora,5,0,2708,10556,1433,0.012682692147791386,18.174299240112305,5.756947040557861,3.8980798721313477,0.7989833641404805,0.7795748613678374,0.7902033271719039,-0.019408502772643166,hpfs_gcl,0.7989833641404805,0,0.1676545888185501,0.12685544788837433,0.0564383864402771,0.11121620237827301,0.2721349000930786,0.2655327320098877,0.7680206298828125,0.08396995812654495
Cora,6,0,2708,10556,1433,0.012682692147791386,18.174299240112305,5.756947040557861,3.8980798721313477,0.7994454713493531,0.7855822550831792,0.7994454713493531,-0.013863216266173817,hpfs_gcl,0.7994454713493531,0,0.1676545888185501,0.12685544788837433,0.0564383864402771,0.11121620237827301,0.2657841444015503,0.2641037106513977,0.7680206298828125,0.08396995812654495
Cora,7,0,2708,10556,1433,0.012682692147791386,18.174299240112305,5.756947040557861,3.8980798721313477,0.8142329020332717,0.7740295748613678,0.7952865064695009,-0.04020332717190389,hpfs_gcl,0.8142329020332717,0,0.1676545888185501,0.12685544788837433,0.0564383864402771,0.11121620237827301,0.28371402621269226,0.26509103178977966,0.7680206298828125,0.08396995812654495
Cora,8,0,2708,10556,1433,0.012682692147791386,18.174299240112305,5.756947040557861,3.8980798721313477,0.794362292051756,0.7698706099815157,0.7878927911275416,-0.024491682070240328,hpfs_gcl,0.794362292051756,0,0.1676545888185501,0.12685544788837433,0.0564383864402771,0.11121620237827301,0.2798895835876465,0.2667525112628937,0.7680206298828125,0.08396995812654495
Cora,9,0,2708,10556,1433,0.012682692147791386,18.174299240112305,5.756947040557861,3.8980798721313477,0.8114602587800369,0.7749537892791127,0.7939001848428835,-0.03650646950092418,hpfs_gcl,0.8114602587800369,0,0.1676545888185501,0.12685544788837433,0.0564383864402771,0.11121620237827301,0.27456143498420715,0.26266202330589294,0.7680206298828125,0.08396995812654495
PubMed,0,0,19717,88648,500,0.10022123157978058,50.11061477661133,15.422664642333984,4.496018886566162,0.8345273568756736,0.8494262347048754,0.8357319469980347,0.014898877829201851,rpgcl_hpfs,0.8494262347048754,1,0.2718965709209442,0.16743509471416473,0.07197771966457367,0.19991885125637054,0.4292023181915283,0.2968035936355591,0.735360324382782,0.07081247121095657
PubMed,1,0,19717,88648,500,0.10022123157978058,50.11061477661133,15.422664642333984,4.496018886566162,0.8343371584353009,0.8579217650415266,0.8370633360806441,0.023584606606225744,rpgcl_hpfs,0.8579217650415266,1,0.2718965709209442,0.16743509471416473,0.07197771966457367,0.19991885125637054,0.44231516122817993,0.29510191082954407,0.735360324382782,0.07081247121095657
PubMed,2,0,19717,88648,500,0.10022123157978058,50.11061477661133,15.422664642333984,4.496018886566162,0.8338299625943068,0.849806631585621,0.8342737589551765,0.015976668991314225,rpgcl_hpfs,0.849806631585621,1,0.2718965709209442,0.16743509471416473,0.07197771966457367,0.19991885125637054,0.4188321828842163,0.29262062907218933,0.735360324382782,0.07081247121095657
PubMed,3,0,19717,88648,500,0.10022123157978058,50.11061477661133,15.422664642333984,4.496018886566162,0.8366829391998986,0.8489824383440056,0.8357953464781589,0.012299499144106996,rpgcl_hpfs,0.8489824383440056,1,0.2718965709209442,0.16743509471416473,0.07197771966457367,0.19991885125637054,0.4400506913661957,0.298142671585083,0.735360324382782,0.07081247121095657
PubMed,4,0,19717,88648,500,0.10022123157978058,50.11061477661133,15.422664642333984,4.496018886566162,0.8277436125023775,0.8493628352247512,0.8311037849489634,0.02161922272237371,rpgcl_hpfs,0.8493628352247512,1,0.2718965709209442,0.16743509471416473,0.07197771966457367,0.19991885125637054,0.4334818124771118,0.2977127134799957,0.735360324382782,0.07081247121095657
PubMed,5,0,19717,88648,500,0.10022123157978058,50.11061477661133,15.422664642333984,4.496018886566162,0.8328789703924427,0.8492360362645026,0.8328789703924427,0.016357065872059873,rpgcl_hpfs,0.8492360362645026,1,0.2718965709209442,0.16743509471416473,0.07197771966457367,0.19991885125637054,0.42950013279914856,0.29346388578414917,0.735360324382782,0.07081247121095657
PubMed,6,0,19717,88648,500,0.10022123157978058,50.11061477661133,15.422664642333984,4.496018886566162,0.8388385215241235,0.8536106003930768,0.8378241298421353,0.014772078868953264,rpgcl_hpfs,0.8536106003930768,1,0.2718965709209442,0.16743509471416473,0.07197771966457367,0.19991885125637054,0.43086346983909607,0.2930571734905243,0.735360324382782,0.07081247121095657
PubMed,7,0,19717,88648,500,0.10022123157978058,50.11061477661133,15.422664642333984,4.496018886566162,0.8344005579154251,0.8530400050719584,0.8290116021048627,0.018639447156533318,rpgcl_hpfs,0.8530400050719584,1,0.2718965709209442,0.16743509471416473,0.07197771966457367,0.19991885125637054,0.42872336506843567,0.28945744037628174,0.735360324382782,0.07081247121095657
PubMed,8,0,19717,88648,500,0.10022123157978058,50.11061477661133,15.422664642333984,4.496018886566162,0.8313573828694605,0.8485386419831358,0.8275534140620047,0.017181259113675296,rpgcl_hpfs,0.8485386419831358,1,0.2718965709209442,0.16743509471416473,0.07197771966457367,0.19991885125637054,0.4401552975177765,0.29610905051231384,0.735360324382782,0.07081247121095657
PubMed,9,0,19717,88648,500,0.10022123157978058,50.11061477661133,15.422664642333984,4.496018886566162,0.836048944398656,0.8518354149495974,0.8297089963862296,0.0157864705509414,rpgcl_hpfs,0.8518354149495974,1,0.2718965709209442,0.16743509471416473,0.07197771966457367,0.19991885125637054,0.42272835969924927,0.29694509506225586,0.735360324382782,0.07081247121095657
