run_dir,dataset,method,seed,split_index,accuracy,F1Mi,F1Ma,val_accuracy,best_c,train_ratio,val_ratio,test_ratio,shuffle_positives,neg_suppression,semantic_weight,num_negatives,raw_preserved,raw_weight,gcl_weight,rpgcl_auto_choice,semantic_top1_key_sim,rpgcl_auto_hpfs_val_accuracy,rpgcl_auto_hpfs_test_accuracy,rpgcl_auto_raw_preserved_hpfs_val_accuracy,rpgcl_auto_raw_preserved_hpfs_test_accuracy,rpgcl_auto_raw_features_val_accuracy,rpgcl_auto_raw_features_test_accuracy,rpgcl_auto_oracle_choice,rpgcl_auto_oracle_test_accuracy,delta_vs_grace_accuracy,delta_vs_grace_F1Mi,delta_vs_grace_F1Ma
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_hpfs_seed0_split1_e50,CiteSeer,rpgcl_hpfs,0,1,0.7166478767380684,0.7166478767380684,0.6418150175782288,0.7537537537537538,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,,0.5930006504058838,,,,,,,,,0.012025554302893648,0.012025554302893648,0.005333670191212669
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_hpfs_seed0_split2_e50,CiteSeer,rpgcl_hpfs,0,2,0.7166478767380684,0.7166478767380684,0.6598565845488182,0.7417417417417418,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,,0.5930006504058838,,,,,,,,,0.02780909432544154,0.02780909432544154,0.05856148729855315
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_hpfs_seed0_split3_e50,CiteSeer,rpgcl_hpfs,0,3,0.7189026681698609,0.7189026681698609,0.6444699349230477,0.7177177177177178,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,,0.5930006504058838,,,,,,,,,0.0048853814355505065,0.0048853814355505065,0.014063556387065246
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_hpfs_seed0_split4_e50,CiteSeer,rpgcl_hpfs,0,4,0.7264186396091695,0.7264186396091695,0.6723439706535163,0.6876876876876877,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,,0.5930006504058838,,,,,,,,,0.02668169860954528,0.02668169860954528,0.037369355900082946
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_hpfs_seed0_split5_e50,CiteSeer,rpgcl_hpfs,0,5,0.7087561067267945,0.7087561067267945,0.6340884242929986,0.7417417417417418,0.01,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,,0.5930006504058838,,,,,,,,,0.0022547914317925244,0.0022547914317925244,0.008700833680126308
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_hpfs_seed0_split6_e50,CiteSeer,rpgcl_hpfs,0,6,0.7275460353250658,0.7275460353250658,0.6728950908073771,0.7177177177177178,0.03,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,,0.5930006504058838,,,,,,,,,0.03494926719278468,0.03494926719278468,0.03726024385097193
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_hpfs_seed0_split7_e50,CiteSeer,rpgcl_hpfs,0,7,0.7181510710259301,0.7181510710259301,0.6595404314069332,0.6786786786786787,3.0,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,,0.5930006504058838,,,,,,,,,0.005261180007515964,0.005261180007515964,0.014510716588797323
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_hpfs_seed0_split8_e50,CiteSeer,rpgcl_hpfs,0,8,0.7170236753100339,0.7170236753100339,0.6565600686876972,0.6936936936936937,0.3,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,,0.5930006504058838,,,,,,,,,0.03194287861706124,0.03194287861706124,0.017625503652310637
runs/rpgcl_auto_selector_controls_splits0-9_e50/CiteSeer_rpgcl_hpfs_seed0_split9_e50,CiteSeer,rpgcl_hpfs,0,9,0.7249154453213078,0.7249154453213078,0.6581775078029705,0.7177177177177178,1.0,0.10009017586708069,0.10009017586708069,0.7998196482658386,False,True,0.5,128,True,1.0,1.0,,0.5930006504058838,,,,,,,,,0.026305900037579932,0.026305900037579932,0.014817921927928523
runs/rpgcl_auto_selector_controls_splits0-9_e50/Cora_grace_seed0_split0_e50,Cora,grace,0,0,0.7957486136783734,0.7957486136783734,0.7745856958961893,0.8198529411764706,0.3,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,False,0.5,128,False,1.0,1.0,,,,,,,,,,,,,
