run_dir,dataset,method,seed,split_index,metric_accuracy,metric_F1Mi,metric_F1Ma,metric_val_accuracy,metric_best_c,metric_num_train,metric_num_val,metric_num_test,split_train_count,split_val_count,split_test_count,split_train_ratio,split_val_ratio,split_test_ratio,split_split_protocol,split_total_count,diag_shuffle_positives,diag_neg_suppression,diag_semantic_topk,diag_semantic_weight,diag_num_negatives,diag_signature_hops,diag_signature_dim,diag_raw_preserved,diag_raw_weight,diag_gcl_weight
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_grace_seed0_split0_e50,CiteSeer,grace,0,0,0.6948515595640736,0.6948515595640736,0.6224080913646884,0.7117117117117117,0.01,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_rpgcl_auto_seed0_split0_e50,CiteSeer,rpgcl_auto,0,0,0.7132656895903795,0.7132656895903795,0.6417622511751426,0.7387387387387387,0.01,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,True,1.0,1.0,0.5930006504058838,raw_preserved_hpfs,0.7267267267267268,0.705749718151071,0.6466902389230683,0.7387387387387387,0.7132656895903795,0.6417622511751426,0.6336336336336337,0.6050357008643367,0.5500543152972285
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_raw_features_seed0_split1_e50,CiteSeer,raw_features,0,1,0.5960165351371665,0.5960165351371665,0.565011575215291,0.5945945945945946,0.03,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_grace_seed0_split1_e50,CiteSeer,grace,0,1,0.703870725291244,0.703870725291244,0.6357059328981101,0.7537537537537538,0.03,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_rpgcl_auto_seed0_split1_e50,CiteSeer,rpgcl_auto,0,1,0.7166478767380684,0.7166478767380684,0.6418150175782288,0.7537537537537538,0.01,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,True,1.0,1.0,0.5930006504058838,raw_preserved_hpfs,0.7477477477477478,0.7158962795941376,0.6505433110748071,0.7537537537537538,0.7166478767380684,0.6418150175782288,0.5945945945945946,0.5960165351371665,0.565011575215291
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_raw_features_seed0_split2_e50,CiteSeer,raw_features,0,2,0.6163096580232995,0.6163096580232995,0.5730347648211616,0.6516516516516516,0.01,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_grace_seed0_split2_e50,CiteSeer,grace,0,2,0.6888387824126269,0.6888387824126269,0.6012950972502651,0.7297297297297297,0.01,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/CiteSeer_rpgcl_auto_seed0_split2_e50,CiteSeer,rpgcl_auto,0,2,0.6993611424276588,0.6993611424276588,0.631514975484329,0.7477477477477478,0.03,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,False,1.0,1.0,0.5930006504058838,hpfs,0.7477477477477478,0.6993611424276588,0.631514975484329,0.7417417417417418,0.7166478767380684,0.6598565845488182,0.6516516516516516,0.6163096580232995,0.5730347648211616
runs/rpgcl_auto_homophily_splits0-2_e50/PubMed_raw_features_seed0_split0_e50,PubMed,raw_features,0,0,0.8293285995054841,0.8293285995054841,0.828937172087587,0.8250507099391481,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/PubMed_grace_seed0_split0_e50,PubMed,grace,0,0,0.8357319469980347,0.8357319469980347,0.8318181920411293,0.8326572008113591,0.1,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/PubMed_rpgcl_auto_seed0_split0_e50,PubMed,rpgcl_auto,0,0,0.8494262347048754,0.8494262347048754,0.847805379263094,0.8397565922920892,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,True,8,0.5,128,2,128,True,1.0,1.0,0.6822049617767334,raw_preserved_hpfs,0.8356997971602435,0.8347809547961706,0.8308556467197072,0.8397565922920892,0.8494262347048754,0.847805379263094,0.8250507099391481,0.8293285995054841,0.828937172087587
runs/rpgcl_auto_homophily_splits0-2_e50/PubMed_raw_features_seed0_split1_e50,PubMed,raw_features,0,1,0.8356051480377861,0.8356051480377861,0.833133587342273,0.8387423935091278,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/PubMed_grace_seed0_split1_e50,PubMed,grace,0,1,0.8371267355607684,0.8371267355607684,0.8326452402195449,0.8286004056795132,0.1,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/PubMed_rpgcl_auto_seed0_split1_e50,PubMed,rpgcl_auto,0,1,0.8579217650415266,0.8579217650415266,0.854367545765253,0.8509127789046653,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,True,8,0.5,128,2,128,True,1.0,1.0,0.6822049021720886,raw_preserved_hpfs,0.8260649087221096,0.8366829391998986,0.8321539032613909,0.8509127789046653,0.8579217650415266,0.854367545765253,0.8387423935091278,0.8356051480377861,0.833133587342273
runs/rpgcl_auto_homophily_splits0-2_e50/PubMed_raw_features_seed0_split2_e50,PubMed,raw_features,0,2,0.8312939833893362,0.8312939833893362,0.8301992881257184,0.8275862068965517,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,False,8,0.5,128,2,128,False,1.0,1.0
runs/rpgcl_auto_homophily_splits0-2_e50/PubMed_grace_seed0_split2_e50,PubMed,grace,0,2,0.8343371584353009,0.8343371584353009,0.8302111460630592,0.8433062880324543,0.1,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,False,8,0.5,128,2,128,False,1.0,1.0
