run_dir,dataset,method,seed,split_index,accuracy,F1Mi,F1Ma,val_accuracy,best_c,train_ratio,val_ratio,test_ratio,shuffle_positives,neg_suppression,semantic_weight,num_negatives,raw_preserved,raw_weight,gcl_weight,rpgcl_auto_choice,semantic_top1_key_sim,delta_vs_grace_accuracy,delta_vs_grace_F1Mi,delta_vs_grace_F1Ma
runs/hpfs_homophily_split0_e50_pure_grace/Cora_hpfs_gcl_seed0_split0_e50_fn_only,Cora,hpfs_gcl,0,0,0.7962107208872459,0.7962107208872459,0.7757854955191358,0.8235294117647058,0.3,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,True,0.0,128,,,,,0.5635236501693726,0.00046210720887251977,0.00046210720887251977,0.0011997996229464736
runs/hpfs_homophily_split0_e50_pure_grace/Cora_hpfs_gcl_seed0_split0_e50_sem01,Cora,hpfs_gcl,0,0,0.7962107208872459,0.7962107208872459,0.7754317173238718,0.8235294117647058,0.3,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,True,0.1,128,,,,,0.5635236501693726,0.00046210720887251977,0.00046210720887251977,0.0008460214276825306
runs/hpfs_homophily_split0_e50_pure_grace/Cora_raw_features_seed0_split0_e50,Cora,raw_features,0,0,0.583641404805915,0.583641404805915,0.5498366385642323,0.6066176470588235,0.3,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,False,,,,,,,,-0.21210720887245837,-0.21210720887245837,-0.22474905733195705
runs/hpfs_homophily_split0_e50_pure_grace/Cora_rpgcl_auto_seed0_split0_e50_auto,Cora,rpgcl_auto,0,0,0.7971349353049908,0.7971349353049908,0.7730628546534373,0.8308823529411765,0.1,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,True,0.5,128,False,1.0,1.0,hpfs,0.5635237097740173,0.0013863216266174483,0.0013863216266174483,-0.0015228412427520377
runs/hpfs_homophily_split0_e50_pure_grace/Cora_rpgcl_grace_seed0_split0_e50_raw_preserved,Cora,rpgcl_grace,0,0,0.7860443622920518,0.7860443622920518,0.7649040948056666,0.7794117647058824,10.0,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,False,0.5,128,True,1.0,1.0,,,-0.009704251386321583,-0.009704251386321583,-0.00968160109052274
runs/hpfs_homophily_split0_e50_pure_grace/Cora_rpgcl_hpfs_seed0_split0_e50_raw_preserved,Cora,rpgcl_hpfs,0,0,0.7920517560073937,0.7920517560073937,0.7718197549468362,0.7830882352941176,3.0,0.10044313222169876,0.10044313222169876,0.7991137504577637,False,True,0.5,128,True,1.0,1.0,,0.5635237097740173,-0.003696857670979603,-0.003696857670979603,-0.0027659409493531184
runs/hpfs_homophily_split0_e50_pure_grace/PubMed_grace_seed0_split0_e50,PubMed,grace,0,0,0.8358587459582831,0.8358587459582831,0.8318898894182506,0.8316430020283976,0.1,0.10001521557569504,0.10001521557569504,0.7999695539474487,False,False,,,,,,,,,,
runs/hpfs_homophily_split0_e50_pure_grace/PubMed_hpfs_gcl_seed0_split0_e50,PubMed,hpfs_gcl,0,0,0.8344005579154251,0.8344005579154251,0.8306124731092547,0.834685598377282,0.1,0.10001521557569504,0.10001521557569504,0.7999695539474487,False,True,,,,,,,0.6822049617767334,-0.0014581880428580218,-0.0014581880428580218,-0.0012774163089959156
runs/hpfs_homophily_split0_e50_pure_grace/PubMed_hpfs_gcl_seed0_split0_e50_fn_only,PubMed,hpfs_gcl,0,0,0.8352881506371648,0.8352881506371648,0.8314320238285627,0.8326572008113591,0.1,0.10001521557569504,0.10001521557569504,0.7999695539474487,False,True,0.0,128,,,,,0.6822049617767334,-0.0005705953211183612,-0.0005705953211183612,-0.00045786558968785585
runs/hpfs_homophily_split0_e50_pure_grace/PubMed_hpfs_gcl_seed0_split0_e50_sem01,PubMed,hpfs_gcl,0,0,0.8350345527166677,0.8350345527166677,0.8311723025570128,0.8336713995943205,0.1,0.10001521557569504,0.10001521557569504,0.7999695539474487,False,True,0.1,128,,,,,0.6822049021720886,-0.000824193241615423,-0.000824193241615423,-0.0007175868612377956
runs/hpfs_homophily_split0_e50_pure_grace/PubMed_raw_features_seed0_split0_e50,PubMed,raw_features,0,0,0.8293285995054841,0.8293285995054841,0.828937172087587,0.8250507099391481,0.01,0.10001521557569504,0.10001521557569504,0.7999695539474487,False,False,,,,,,,,-0.006530146452799035,-0.006530146452799035,-0.002952717330663601
runs/hpfs_homophily_split0_e50_pure_grace/PubMed_rpgcl_auto_seed0_split0_e50_auto,PubMed,rpgcl_auto,0,0,0.8494262347048754,0.8494262347048754,0.847805379263094,0.8397565922920892,0.01,0.10001521557569504,0.10001521557569504,0.7999695539474487,False,True,0.5,128,True,1.0,1.0,raw_preserved_hpfs,0.6822049617767334,0.013567488746592304,0.013567488746592304,0.015915489844843367
runs/hpfs_homophily_split0_e50_pure_grace/PubMed_rpgcl_grace_seed0_split0_e50_raw_preserved,PubMed,rpgcl_grace,0,0,0.8490458378241298,0.8490458378241298,0.8474949245373732,0.8387423935091278,0.01,0.10001521557569504,0.10001521557569504,0.7999695539474487,False,False,0.5,128,True,1.0,1.0,,,0.013187091865846656,0.013187091865846656,0.01560503511912259
runs/hpfs_homophily_split0_e50_pure_grace/PubMed_rpgcl_hpfs_seed0_split0_e50_raw_preserved,PubMed,rpgcl_hpfs,0,0,0.8494262347048754,0.8494262347048754,0.8477890773487142,0.8407707910750507,0.01,0.10001521557569504,0.10001521557569504,0.7999695539474487,False,True,0.5,128,True,1.0,1.0,,0.6822049021720886,0.013567488746592304,0.013567488746592304,0.015899187930463632
