run_dir,dataset,method,seed,model_seed,split_seed,split_index,metric_accuracy,metric_F1Mi,metric_F1Ma,metric_val_accuracy,metric_best_c,metric_num_train,metric_num_val,metric_num_test,split_train_count,split_val_count,split_test_count,split_train_ratio,split_val_ratio,split_test_ratio,split_split_protocol,split_total_count,diag_shuffle_positives,diag_neg_suppression,diag_semantic_topk,diag_semantic_weight,diag_num_negatives,diag_signature_hops,diag_signature_dim,diag_raw_preserved,diag_raw_weight,diag_gcl_weight,diag_gate_signal,diag_gate_signal_value,diag_gate_threshold,diag_gate_temperature,diag_gate_hard,diag_gate_soft_alpha,diag_gate_alpha,diag_semantic_top1_key_sim
runs/complement_gate_splits0-9_e50/CiteSeer_cg_hpfs_seed0_split1_e50,CiteSeer,cg_hpfs,0,0,2027,1,0.7166478767380684,0.7166478767380684,0.6418150175782288,0.7537537537537538,0.01,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.14568719267845154,0.13,0.02,True,0.686618983745575,1.0,0.5930006504058838
runs/complement_gate_splits0-9_e50/CiteSeer_cg_hpfs_seed0_split2_e50,CiteSeer,cg_hpfs,0,0,2028,2,0.7166478767380684,0.7166478767380684,0.6598565845488182,0.7417417417417418,0.03,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.14568719267845154,0.13,0.02,True,0.686618983745575,1.0,0.5930006504058838
runs/complement_gate_splits0-9_e50/CiteSeer_cg_hpfs_seed0_split3_e50,CiteSeer,cg_hpfs,0,0,2029,3,0.7189026681698609,0.7189026681698609,0.6444699349230477,0.7177177177177178,0.01,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.14568719267845154,0.13,0.02,True,0.686618983745575,1.0,0.5930006504058838
runs/complement_gate_splits0-9_e50/CiteSeer_cg_hpfs_seed0_split4_e50,CiteSeer,cg_hpfs,0,0,2030,4,0.7162720781661029,0.7162720781661029,0.6700855973651295,0.6906906906906907,1.0,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.14568719267845154,0.13,0.02,True,0.686618983745575,1.0,0.5930006504058838
runs/complement_gate_splits0-9_e50/CiteSeer_cg_hpfs_seed0_split5_e50,CiteSeer,cg_hpfs,0,0,2031,5,0.7087561067267945,0.7087561067267945,0.6340884242929986,0.7417417417417418,0.01,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.14568719267845154,0.13,0.02,True,0.686618983745575,1.0,0.5930006504058838
runs/complement_gate_splits0-9_e50/CiteSeer_cg_hpfs_seed0_split6_e50,CiteSeer,cg_hpfs,0,0,2032,6,0.7275460353250658,0.7275460353250658,0.6728950908073771,0.7177177177177178,0.03,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.14568719267845154,0.13,0.02,True,0.686618983745575,1.0,0.5930006504058838
runs/complement_gate_splits0-9_e50/CiteSeer_cg_hpfs_seed0_split7_e50,CiteSeer,cg_hpfs,0,0,2033,7,0.7181510710259301,0.7181510710259301,0.6595374981800853,0.6786786786786787,3.0,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.14568719267845154,0.13,0.02,True,0.686618983745575,1.0,0.5930006504058838
runs/complement_gate_splits0-9_e50/CiteSeer_cg_hpfs_seed0_split8_e50,CiteSeer,cg_hpfs,0,0,2034,8,0.7170236753100339,0.7170236753100339,0.6565564903703357,0.6936936936936937,0.3,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.14568719267845154,0.13,0.02,True,0.686618983745575,1.0,0.5930006504058838
runs/complement_gate_splits0-9_e50/CiteSeer_cg_hpfs_seed0_split9_e50,CiteSeer,cg_hpfs,0,0,2035,9,0.7249154453213078,0.7249154453213078,0.6581775078029705,0.7177177177177178,1.0,333,333,2661,333,333,2661,0.10009017586708069,0.10009017586708069,0.7998196482658386,stratified_1:1:8,3327,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.14568719267845154,0.13,0.02,True,0.686618983745575,1.0,0.5930006504058838
runs/complement_gate_splits0-9_e50/PubMed_cg_hpfs_seed0_split0_e50,PubMed,cg_hpfs,0,0,2026,0,0.8495530336651239,0.8495530336651239,0.8479417799674662,0.84026369168357,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.20003007352352142,0.13,0.02,True,0.9707305431365967,1.0,0.6822049021720886
runs/complement_gate_splits0-9_e50/PubMed_cg_hpfs_seed0_split1_e50,PubMed,cg_hpfs,0,0,2027,1,0.8578583655614024,0.8578583655614024,0.8543242898762292,0.8509127789046653,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.20003007352352142,0.13,0.02,True,0.9707305431365967,1.0,0.6822049617767334
runs/complement_gate_splits0-9_e50/PubMed_cg_hpfs_seed0_split2_e50,PubMed,cg_hpfs,0,0,2028,2,0.8499334305458696,0.8499334305458696,0.8469806870756343,0.8493914807302231,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.20003007352352142,0.13,0.02,True,0.9707305431365967,1.0,0.6822049021720886
runs/complement_gate_splits0-9_e50/PubMed_cg_hpfs_seed0_split3_e50,PubMed,cg_hpfs,0,0,2029,3,0.8488556393837571,0.8488556393837571,0.8464671963955968,0.842292089249493,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.20003007352352142,0.13,0.02,True,0.9707305431365967,1.0,0.6822049617767334
runs/complement_gate_splits0-9_e50/PubMed_cg_hpfs_seed0_split4_e50,PubMed,cg_hpfs,0,0,2030,4,0.8493628352247512,0.8493628352247512,0.8460365012500909,0.8569979716024341,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.20003007352352142,0.13,0.02,True,0.9707305431365967,1.0,0.6822049617767334
runs/complement_gate_splits0-9_e50/PubMed_cg_hpfs_seed0_split5_e50,PubMed,cg_hpfs,0,0,2031,5,0.8491726367843784,0.8491726367843784,0.8471739174970615,0.8504056795131846,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.20003007352352142,0.13,0.02,True,0.9707305431365967,1.0,0.6822049021720886
runs/complement_gate_splits0-9_e50/PubMed_cg_hpfs_seed0_split6_e50,PubMed,cg_hpfs,0,0,2032,6,0.853673999873201,0.853673999873201,0.8520114858394775,0.8529411764705882,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.20003007352352142,0.13,0.02,True,0.9707305431365967,1.0,0.6822049021720886
runs/complement_gate_splits0-9_e50/PubMed_cg_hpfs_seed0_split7_e50,PubMed,cg_hpfs,0,0,2033,7,0.8528498066315856,0.8528498066315856,0.8504270772822804,0.8595334685598377,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.20003007352352142,0.13,0.02,True,0.9707305431365967,1.0,0.6822049617767334
runs/complement_gate_splits0-9_e50/PubMed_cg_hpfs_seed0_split8_e50,PubMed,cg_hpfs,0,0,2034,8,0.84860204146326,0.84860204146326,0.8464499771984157,0.8417849898580122,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.20003007352352142,0.13,0.02,True,0.9707305431365967,1.0,0.6822049021720886
runs/complement_gate_splits0-9_e50/PubMed_cg_hpfs_seed0_split9_e50,PubMed,cg_hpfs,0,0,2035,9,0.8515184175489761,0.8515184175489761,0.8482661049842556,0.8498985801217038,0.01,1972,1972,15773,1972,1972,15773,0.10001521557569504,0.10001521557569504,0.7999695539474487,stratified_1:1:8,19717,False,True,8,0.5,128,2,128,True,1.0,1.0,edge_feature_cos_lift,0.20003007352352142,0.13,0.02,True,0.9707305431365967,1.0,0.6822049617767334
